16|16|8|7|
8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|
8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|
8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|
8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|
8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|
8.0|8.0|6.0|8.0|8.0|8.0|8.0|6.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|
8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|6.0|8.0|8.0|8.0|8.0|8.0|
8.0|8.0|8.0|8.0|8.0|6.0|8.0|8.0|5.0|8.0|8.0|8.0|8.0|8.0|8.0|8.0|
5.0|8.0|8.0|8.0|8.0|8.0|5.0|5.0|5.0|5.0|8.0|8.0|8.0|8.0|8.0|5.0|
5.0|5.0|8.0|5.0|5.0|5.0|5.0|6.0|6.0|6.0|6.0|5.0|8.0|8.0|5.0|5.0|
6.0|6.0|6.0|6.0|5.0|6.0|6.0|5.0|5.0|5.0|6.0|6.0|5.0|5.0|5.0|6.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|3.0|5.0|5.0|6.0|6.0|6.0|6.0|5.0|
6.0|6.0|6.0|6.0|6.0|6.0|6.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|6.0|6.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|
5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|

